match_id,win,blue_dragons,blue_heralds,blue_towers,blue_kills,blue_firstBlood,blue_voidgrubs,red_dragons,red_heralds,red_towers,red_kills,red_voidgrubs,blue_top_gold,blue_top_cs,blue_top_kills,blue_top_deaths,blue_top_champion,blue_top_tag,red_top_gold,red_top_cs,red_top_kills,red_top_deaths,red_top_champion,red_top_tag,top_gold_diff,blue_jungle_gold,blue_jungle_cs,blue_jungle_kills,blue_jungle_deaths,blue_jungle_champion,blue_jungle_tag,red_jungle_gold,red_jungle_cs,red_jungle_kills,red_jungle_deaths,red_jungle_champion,red_jungle_tag,jungle_gold_diff,blue_middle_gold,blue_middle_cs,blue_middle_kills,blue_middle_deaths,blue_middle_champion,blue_middle_tag,red_middle_gold,red_middle_cs,red_middle_kills,red_middle_deaths,red_middle_champion,red_middle_tag,middle_gold_diff,blue_bottom_gold,blue_bottom_cs,blue_bottom_kills,blue_bottom_deaths,blue_bottom_champion,blue_bottom_tag,red_bottom_gold,red_bottom_cs,red_bottom_kills,red_bottom_deaths,red_bottom_champion,red_bottom_tag,bottom_gold_diff,blue_utility_gold,blue_utility_cs,blue_utility_kills,blue_utility_deaths,blue_utility_champion,blue_utility_tag,red_utility_gold,red_utility_cs,red_utility_kills,red_utility_deaths,red_utility_champion,red_utility_tag,utility_gold_diff,blue_comp,red_comp
KR_8218800237,1,0,0,0,13,1,3,1,0,0,14,0,4748,117,0,1,DrMundo,Fighter,5292,123,1,1,Ambessa,Unknown,-544,5820,108,3,2,LeeSin,Fighter,4909,67,1,4,Khazix,Assassin,911,5353,131,2,2,Syndra,Mage,7521,151,5,0,Varus,Marksman,-2168,7563,105,7,3,Lucian,Marksman,7266,106,6,5,Kaisa,Marksman,297,4924,25,1,6,Senna,Marksman,4742,18,1,3,Thresh,Support,182,하이퍼캐리,하이퍼캐리
KR_8185384716,1,1,0,0,9,0,3,1,0,1,15,0,7109,131,4,0,Garen,Fighter,4804,115,1,3,Jax,Fighter,2305,5339,114,1,2,Vi,Fighter,6600,122,4,1,Nidalee,Assassin,-1261,5238,133,0,3,Lux,Mage,5345,127,1,1,Yasuo,Fighter,-107,5964,94,2,7,Yunara,Unknown,7780,131,7,3,Jhin,Marksman,-1816,5020,25,2,3,Senna,Marksman,5008,18,2,1,Karma,Mage,12,혼합조합,혼합조합
KR_8227909202,0,0,0,3,9,0,0,2,0,0,14,3,4700,94,1,6,Darius,Fighter,6028,113,3,3,Aurora,Unknown,-1328,6062,112,3,1,LeeSin,Fighter,7172,115,6,1,RekSai,Fighter,-1110,6963,130,3,1,Kayle,Fighter,5795,140,1,3,KogMaw,Marksman,1168,5958,133,2,1,Samira,Marksman,7228,146,2,1,Ezreal,Marksman,-1270,3432,14,0,5,Pyke,Support,4716,28,2,1,Diana,Fighter,-1284,브루저조합,하이퍼캐리
KR_8211115660,1,0,0,0,16,1,0,1,0,0,20,3,5068,106,2,6,Singed,Tank,6288,136,4,4,Tryndamere,Fighter,-1220,7070,120,4,1,JarvanIV,Tank,7372,106,5,2,Zed,Assassin,-302,6140,124,3,1,Akali,Assassin,5642,119,3,2,Talon,Assassin,498,6338,107,2,9,Kaisa,Marksman,7468,118,8,4,Jhin,Marksman,-1130,5401,22,5,3,Pyke,Support,4265,22,0,4,Braum,Support,1136,혼합조합,암살자조합
KR_8196961710,1,0,0,0,15,0,1,2,0,0,13,2,5398,120,2,3,Kennen,Mage,5864,101,4,2,Malphite,Tank,-466,6287,100,4,5,Graves,Marksman,6317,121,3,1,Shyvana,Fighter,-30,5165,92,1,1,TwistedFate,Mage,5401,108,3,4,Yasuo,Fighter,-236,7194,118,7,1,Yunara,Unknown,5570,109,1,3,Jinx,Marksman,1624,4109,16,1,3,Blitzcrank,Tank,4171,21,2,5,Thresh,Support,-62,혼합조합,혼합조합
KR_8132119994,1,1,0,1,22,0,3,0,0,0,10,0,5080,89,1,5,Varus,Marksman,7440,140,6,6,Irelia,Fighter,-2360,6365,81,6,2,JarvanIV,Tank,5660,108,1,4,Graves,Marksman,705,6987,119,8,0,Zed,Assassin,3859,76,0,5,Malphite,Tank,3128,6352,105,5,3,Vayne,Marksman,5771,105,1,3,Sivir,Marksman,581,4559,16,2,0,Lulu,Support,4035,25,2,4,Thresh,Support,524,하이퍼캐리,하이퍼캐리
KR_8134791880,0,0,0,1,6,1,3,1,0,0,10,0,5248,110,1,2,Sion,Tank,5949,134,2,1,Zaahen,Unknown,-701,5592,108,2,2,Naafiri,Assassin,6241,99,5,0,XinZhao,Fighter,-649,5671,142,1,0,Akali,Assassin,5304,144,0,3,Malzahar,Mage,367,5254,119,1,4,Aphelios,Marksman,6563,110,2,1,Caitlyn,Marksman,-1309,4244,31,1,2,Lulu,Support,4443,22,1,1,FiddleSticks,Unknown,-199,암살자조합,혼합조합
KR_8202103425,0,1,0,1,14,1,3,0,0,0,16,0,4461,91,1,5,Sett,Fighter,6747,109,4,1,Urgot,Fighter,-2286,7531,98,7,2,Viego,Assassin,6941,109,6,3,Talon,Assassin,590,6095,122,3,1,Azir,Mage,5572,145,0,4,Lissandra,Mage,523,6252,107,3,5,Ashe,Marksman,7601,114,6,3,MissFortune,Marksman,-1349,4165,16,0,3,Rakan,Support,4712,20,0,3,Thresh,Support,-547,혼합조합,혼합조합
KR_8228087764,0,0,0,0,13,1,3,1,0,0,14,0,5493,136,1,0,Vayne,Marksman,4732,106,0,2,Rengar,Assassin,761,6686,126,4,4,Talon,Assassin,7986,111,7,4,Darius,Fighter,-1300,5207,130,1,2,Veigar,Mage,6388,135,4,0,Leblanc,Assassin,-1181,6796,116,5,3,Jhin,Marksman,6306,107,2,5,Caitlyn,Marksman,490,4893,12,2,5,Nautilus,Tank,4352,16,1,2,Bard,Support,541,하이퍼캐리,암살자조합
KR_8223218979,1,1,0,0,10,1,3,1,0,0,7,0,5418,127,1,0,Viktor,Mage,4862,120,1,2,Jax,Fighter,556,5980,102,4,1,XinZhao,Fighter,5648,100,2,1,JarvanIV,Tank,332,5058,117,1,1,Yasuo,Fighter,5585,130,1,2,Lissandra,Mage,-527,6026,130,2,2,Ashe,Marksman,5683,110,2,1,Ezreal,Marksman,343,4406,13,2,3,Seraphine,Mage,4740,56,1,4,TwistedFate,Mage,-334,혼합조합,혼합조합
